Status ,Message Execution ,DateTime Initial Execution ,Time Final Execution 
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '10/03/2022: 11:09:49', '11:10:09'
'NOK', '[Internal System Error]: ', '10/03/2022: 13:27:30', '14:03:48'
'OK', 'Process have been done with success.', '10/03/2022: 14:04:19', '14:04:53'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '10/03/2022: 14:06:55', '14:07:10'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '10/03/2022: 14:09:20', '14:09:35'
'NOK', '[Internal System Error]: Error in the process 2: searching text on website.', '10/03/2022: 14:36:10', '14:36:21'
'NOK', '[Internal System Error]: Error in the process 2: searching text on website.', '10/03/2022: 15:16:47', '15:16:58'
'NOK', '[Internal System Error]: Error in the process 2: searching text on website.', '10/03/2022: 16:13:24', '16:13:34'
'NOK', '[Internal System Error]: Error in the process 2: searching text on website.', '10/03/2022: 16:18:42', '16:18:54'
'NOK', '[Internal System Error]: Error in the process 2: searching text on website.', '10/03/2022: 16:25:39', '16:25:50'
'NOK', '[Internal System Error]: Error in the process 2: searching text on website.', '10/03/2022: 16:31:04', '16:31:20'
'NOK', '[Internal System Error]: Error in the process 2: searching text on website.', '10/03/2022: 16:42:39', '16:42:51'
'OK', 'Process have been done with success.', '10/03/2022: 16:45:08', '16:58:41'
